file_path,line_number,match_context
"ai-service/package.json",12,"  \""author\"": \""InvoiceShelf AI Team\""\,"
"tools/efaktura_upload.php",28," * @author Claude Code (InvoiceShelf Macedonia Implementation)"
"tools/efaktura_upload.php",210,"            CURLOPT_USERAGENT => 'InvoiceShelf Macedonia E-Faktura Uploader v1.0'\,"
"tools/efaktura_upload.php",241,"        $boundary = '----InvoiceShelfEFakturaUpload' . uniqid();"
"tools/efaktura_upload.php",639,"            CURLOPT_USERAGENT => 'InvoiceShelf Macedonia Portal Health Check'"
"tools/branding_scan.sh",3,"# Branding Scan Script for InvoiceShelf -> Facturino Rebranding"
"tools/branding_scan.sh",5,"# Purpose: Search for all \""InvoiceShelf\"" occurrences and generate CSV report"
"tools/branding_scan.sh",24,"echo \""Starting branding scan for 'InvoiceShelf' occurrences...\"""
"tools/branding_scan.sh",29,"# Find all occurrences of \""InvoiceShelf\"" and format for CSV"
"tools/branding_scan.sh",30,"grep -r -n $EXCLUDE_DIRS $INCLUDE_FILES \""InvoiceShelf\"" . 2>/dev/null | while IFS=: read -r file line_num match_context; do"
"tools/branding_scan.sh",50,"    echo \""Total 'InvoiceShelf' occurrences found: $total_occurrences\"""
"tools/branding_scan.sh",51,"    echo \""Files containing 'InvoiceShelf': $unique_files\"""
"roadmaps/ROADMAP-UI.md",13,"- ✅ BaseGlobalLoader.vue: Updated alt text from \""InvoiceShelf\"" to \""Facturino Logo\"" (line 50)"
"roadmaps/ROADMAP-UI.md",14,"- ✅ TheSiteSidebar.vue: Updated alt text from \""InvoiceShelf\"" to \""Facturino Logo\"" (line 70)"
"roadmaps/ROADMAP-UI.md",16,"- ✅ Verified no remaining \""InvoiceShelf\"" references in target files"
"roadmaps/ROADMAP-UI.md",39,"- ✅ Performed comprehensive grep search - confirmed zero \""InvoiceShelf\"" references remain in email directory"
"roadmaps/ROADMAP-UI.md",47,"- ✅ Analyzed language files for InvoiceShelf → Facturino notification string updates"
"roadmaps/ROADMAP-UI.md",51,"- ✅ Performed comprehensive grep search - zero \""InvoiceShelf\"" references found in specified files"
"roadmaps/ROADMAP-UI.md",58,"The notification strings in the target language files (en.json\, mk.json\, sq.json) had already been updated to use \""Facturino\"" branding instead of \""InvoiceShelf\"". The task primarily involved verification and adding proper LLM-CHECKPOINT markers. The Albanian (sq.json) file has limited notification content but maintains consistency with the broader application branding. Fixed a PHP syntax error in test files that was preventing proper test execution."
"roadmaps/ROADMAP-UI.md",132,"✅ Master layouts updated · ✅ All \""InvoiceShelf\"" references replaced with \""Facturino\"""
"roadmaps/ROADMAP-UI.md",136,"- ✅ Located and verified PDF template: /resources/views/pdf/invoice_facturino.blade.php (clean\, no InvoiceShelf references)"
"roadmaps/ROADMAP-UI.md",137,"- ✅ Found and updated secondary app layout: /facturino/resources/views/app.blade.php (window.InvoiceShelf.start() → window.Facturino.start())"
"roadmaps/ROADMAP-UI.md",139,"- ✅ Performed comprehensive grep verification across all target files - confirmed zero \""InvoiceShelf\"" references"
"roadmaps/ROADMAP-UI.md",140,"- ✅ Task successfully meets success criteria: grep \""InvoiceShelf\"" shows 0 hits in specified layout files"
"roadmaps/ROADMAP-UI.md",147,"| BR-01 | ✅ Swap \""InvoiceShelf\"" → \""Facturino\"" in master layouts | `resources/views/layouts/app.blade.php`\, `resources/views/pdf/invoice_facturino.blade.php` | grep shows 0 hits |"
"roadmaps/roadmap-livetest.md",4,"This roadmap covers the complete Docker-based smoke test for the freshly-forked Facturino (formerly InvoiceShelf) application. The test includes building\, deploying\, and validating the entire stack with comprehensive automated testing."
"roadmaps/roadmap-livetest.md",130,"- ✅ Created docker-compose.yml with PostgreSQL 16 + InvoiceShelf setup"
"roadmaps/roadmap-livetest.md",148,"- ✅ Application bootstrap verified (InvoiceShelf JavaScript loading)"
"roadmaps/roadmap-livetest.md",229,"- **Issue**: Docker container was using pre-built InvoiceShelf image\, not our local Facturino codebase"
"roadmaps/roadmap-livetest.md",230,"- **Symptoms**: English UI despite APP_LOCALE=mk\, \""InvoiceShelf\"" branding visible"
"roadmaps/roadmap-livetest.md",236,"   // resources/scripts/InvoiceShelf.js:42"
"roadmaps/roadmap-livetest.md",242,"   - `lang/en.json`: 47 \""InvoiceShelf\"" → \""Facturino\"" replacements"
"roadmaps/roadmap-livetest.md",268,"     - ./public:/var/www/html/InvoiceShelf/public"
"roadmaps/ROADMAP3.md",122,"| **DEP-01** | Production docker stack     | copy from InvoiceShelf/docker repo | docker-compose-prod.yml                    | `curl https://<domain>/health` returns OK |"
"roadmaps/ROADMAP.md",111,"* NX-02 Native Mobile Rebrand (clone `InvoiceShelf/mobile`)  "
"roadmaps/ROADMAP.md",147,"- **InvoiceShelf/mobile**: https://github.com/InvoiceShelf/mobile"
"roadmaps/ROADMAP.md",159,"* league/csv (already in InvoiceShelf)"
"roadmaps/ROADMAP.md",242,"**Gotchas:** Had to adjust foreign key constraints to match existing InvoiceShelf table structures. Migration file follows naming convention 2025_08_20_core.php as specified. All tables integrate cleanly with existing multi-company architecture."
"roadmaps/ROADMAP.md",350,"**Gotchas:** File created on host then copied to Docker container at /var/www/html/InvoiceShelf. Laravel artisan commands available at `/var/www/html/InvoiceShelf/artisan`. Container structure differs from host - InvoiceShelf lives inside /var/www/html/ in container."
"roadmaps/ROADMAP.md",399,"**Gotchas:** Had to rollback and re-run migration since 2025_08_20_core was already applied. Foreign key references assume standard InvoiceShelf table structure (companies\, invoices\, payments\, currencies). JSON column for raw_data requires MySQL 5.7+ or equivalent."
"roadmaps/ROADMAP.md",526,"**What I did:** Created comprehensive UBL 2.1 XML mapper service that converts InvoiceShelf invoices to standard UBL format for Macedonian tax compliance. Includes support for Macedonian VAT rates (18% standard\, 5% reduced)\, Cyrillic text\, MKD currency\, and proper business document structure."
"roadmaps/ROADMAP.md",530,"- Mapped all InvoiceShelf invoice fields to corresponding UBL elements"
"roadmaps/ROADMAP.md",607,"- **Caddyfile**: Automatic HTTPS\, reverse proxy to InvoiceShelf\, security headers\, rate limiting"
"roadmaps/ROADMAP.md",641,"**Gotchas:** Caddy requires proper DNS configuration pointing to server IP for Let's Encrypt certificate generation. Domain must resolve to server before HTTPS will work. InvoiceShelf container must be healthy before Caddy can proxy requests. Rate limiting may need adjustment based on actual usage patterns."
"roadmaps/ROADMAP.md",655,"- All HTTPS config is in Caddyfile\, not InvoiceShelf app configuration"
"roadmaps/ROADMAP.md",737,"- Component follows existing InvoiceShelf Vue.js patterns and conventions"
"roadmaps/ROADMAP.md",786,"**Gotchas:** league/csv package not available despite roadmap note \""already in InvoiceShelf\"" - used native PHP str_getcsv() instead. Invoice import is complex and only has placeholder implementation due to multi-table structure (invoice + invoice_items + taxes). Job requires proper Laravel queue worker setup to process in background."
"roadmaps/ROADMAP.md",804,"- **Main app container**: InvoiceShelf with health checks\, resource limits\, secrets management"
"roadmaps/ROADMAP2.md",33,"   - Container paths: `/var/www/html/InvoiceShelf/` vs host paths"
"roadmaps/ROADMAP2.md",163,"**What I did**: Implemented comprehensive monitoring with Telescope + Prometheus for InvoiceShelf"
"roadmaps/ROADMAP2.md",224,"14. **Native Mobile Rebrand** (InvoiceShelf/mobile)"
"roadmaps/ROADMAP-L10N.md",10,"✅ \""InvoiceShelf\"" → \""Facturino\"" replaced in 17 Blade files."
"roadmaps/ROADMAP-L10N.md",32,"| SCAN-01 | Branding scan script + CSV report | tools/branding_scan.sh\, branding_report.csv | CSV lists every \""InvoiceShelf\"" occurrence |"
"roadmaps/ROADMAP-L10N.md",35,"**Audit**: Created branding scan script and CSV report with 474 total \""InvoiceShelf\"" occurrences found across 95 files."
"roadmaps/ROADMAP-L10N.md",55,"**Audit**: Global logo components updated from \""InvoiceShelf\"" to \""Facturino\"". Logo renders correctly with new branding."
"roadmaps/ROADMAP-L10N.md",66,"**Audit**: Loader and login layout branding updated from \""InvoiceShelf\"" to \""Facturino\"". Loader shows correct logo and installation page has proper alt text."
"roadmaps/ROADMAP-L10N.md",79,"**Audit**: Email templates (part 1) rebranded from \""InvoiceShelf\"" to \""Facturino\"". Preview shows correct logo."
"roadmaps/ROADMAP-L10N.md",90,"**Audit**: Email templates (part 2) rebranded from \""InvoiceShelf\"" to \""Facturino\"". Preview shows correct logo."
"roadmaps/ROADMAP-L10N.md",102,"**Audit**: Notification texts updated from \""InvoiceShelf\"" to \""Facturino\"" in language files. All branding consistent."
"roadmaps/ROADMAP-L10N.md",113,"**Audit**: \""InvoiceShelf\"" → \""Facturino\"" replaced in 2 Blade layout files. Browser title now shows \""Facturino\""."
"roadmaps/ROADMAP-L10N.md",119,"**Implementation Notes**: Updated JavaScript initialization call from `window.InvoiceShelf.start()` to `window.Facturino.start()` and changed default theme fallback from 'invoiceshelf' to 'facturino'. Maintained existing theme and portal functionality."
"docker/docker-compose.sqlite.yml",2,"# InvoiceShelf SQLite docker-compose variant"
"docker/docker-compose.sqlite.yml",3,"# Repo : https://github.com/InvoiceShelf/docker"
"docker/docker-compose.sqlite.yml",25,"      - DB_DATABASE=/var/www/html/InvoiceShelf/database/database.sqlite # please don't touch this!"
"docker/docker-compose.mysql.yml",2,"# InvoiceShelf MySQL docker-compose variant"
"docker/docker-compose.mysql.yml",3,"# Repo : https://github.com/InvoiceShelf/docker"
"docker/deploy-staging.sh",4,"# InvoiceShelf Staging Deployment Script"
"docker/deploy-staging.sh",183,"            -subj \""/C=MK/ST=Skopje/L=Skopje/O=InvoiceShelf Staging/OU=IT/CN=staging.facturino.mk\"""
"docker/STAGING_README.md",1,"# InvoiceShelf Staging Environment"
"docker/STAGING_README.md",3,"This directory contains the staging environment configuration for InvoiceShelf\, designed for partner bureau pilot testing at `staging.facturino.mk`."
"docker/docker-compose.pgsql.yml",2,"# InvoiceShelf PostgreSQL docker-compose variant"
"docker/docker-compose.pgsql.yml",3,"# Repo : https://github.com/InvoiceShelf/docker"
"docker/invoiceshelf_mysql/data/framework/views/e8bfaa4e20a9f388ecfac48a2e954ae4.php",71,"        window.InvoiceShelf.start()"
"docker/invoiceshelf_mysql/data/framework/views/e8bfaa4e20a9f388ecfac48a2e954ae4.php",76,"<?php /**PATH /var/www/html/InvoiceShelf/resources/views/app.blade.php ENDPATH**/ ?>"
"docker/docker-compose.dev.yml",2,"# InvoiceShelf docker-compose variant for"
"docker/docker-compose.dev.yml",10,"# Repo : https://github.com/InvoiceShelf/docker"
"docker/docker-compose.dev.yml",36,"      - DB_DATABASE=/var/www/html/InvoiceShelf/database/database.sqlite # please don't touch this!"
"docker/README.md",5,"[![Build and Push Release](https://github.com/InvoiceShelf/docker/actions/workflows/build_push_release.yml/badge.svg)](https://github.com/InvoiceShelf/docker/actions/workflows/build_push_release.yml)"
"docker/README.md",26,"This image features InvoiceShelf\, nginx and PHP-FPM. The provided configuration (PHP\, nginx...) follows InvoiceShelf's official recommendations and is meant to be used by end-users."
"docker/README.md",28,"**Important**:  If you are developer\, please check the InvoiceShelf main repository and use image within the repository for developing."
"docker/README.md",59,"-e APP_NAME=InvoiceShelf \"
"docker/README.md",71,"will start InvoiceShelf listening on a port 90 and the data will be persisted in ./invoiceshelf/ directory."
"docker/README.md",83,"The recommended way to run InvoiceShelf is by utilizing the provided docker-compose.yaml files within this repository."
"docker/README.md",127,"* Use the InvoiceShelf installer by passing `-e DB_CONNECTION=` on the command line and connecting to the container with your browser"
"docker/README.md",187,"If you do not provide environment variables or `.env` file\, the [example .env file](https://github.com/InvoiceShelf/InvoiceShelf/blob/master/.env.example) will be used with some values already set by default."
"docker/portainer-compose.yml",98,"        openssl req -new -x509 -key /data/portainer.key -out /data/portainer.crt -days 3650 -subj '/C=MK/ST=Skopje/L=Skopje/O=InvoiceShelf/OU=IT Department/CN=admin.your-domain.com'"
"docker/docker-compose-prod.yml",2,"# InvoiceShelf Production Docker Compose Stack"
"docker/docker-compose-prod.yml",116,"  # Main InvoiceShelf application"
"docker/docker-compose-prod.yml",134,"      - APP_NAME=${APP_NAME:-InvoiceShelf}"
"docker/deploy.sh",3,"# InvoiceShelf Macedonia Production Deployment Script"
"docker/deploy.sh",21,"echo -e \""${BLUE}🚀 InvoiceShelf Macedonia Production Deployment${NC}\"""
"docker/deploy.sh",90,"    openssl req -x509 -newkey rsa:2048 -keyout secrets/xml_private_key.pem -out secrets/xml_certificate.pem -days 365 -nodes -subj \""/C=MK/ST=Skopje/L=Skopje/O=InvoiceShelf Macedonia/OU=IT/CN=${DOMAIN}\"""
"docker/deploy.sh",176,"echo -e \""4. Complete InvoiceShelf installation wizard\"""
"docker/deploy.sh",190,"echo -e \""${GREEN}🇲🇰 InvoiceShelf Macedonia is ready for production! 🇲🇰${NC}\"""
"docker/validate-staging.sh",4,"# InvoiceShelf Staging Environment Validation Script"
"docker/docker-compose-staging.yml",2,"# InvoiceShelf Staging Docker Compose Stack"
"docker/docker-compose-staging.yml",117,"  # Main InvoiceShelf application for staging"
"docker/docker-compose-staging.yml",135,"      - APP_NAME=${STAGING_APP_NAME:-InvoiceShelf Staging}"
"docker/docker-compose-staging.yml",181,"      - MAIL_FROM_NAME=${STAGING_MAIL_FROM_NAME:-InvoiceShelf Staging}"
"docker/entrypoint.sh",7,"branch=$(ls /var/www/html/InvoiceShelf/.git/refs/heads)"
"docker/entrypoint.sh",8,"read -r longhash < /var/www/html/InvoiceShelf/.git/refs/heads/$branch"
"docker/entrypoint.sh",10,"target=$(</var/www/html/InvoiceShelf/docker_target)"
"docker/entrypoint.sh",11,"version=$(head -n 1 /var/www/html/InvoiceShelf/version.md)"
"docker/entrypoint.sh",15,"InvoiceShelf Branch:   $branch ($target)"
"docker/entrypoint.sh",16,"InvoiceShelf Commit:   $shorthash"
"docker/entrypoint.sh",17,"InvoiceShelf Version:  $version"
"docker/entrypoint.sh",19,"Link to commit: https://github.com/InvoiceShelf/InvoiceShelf/commit/$longhash"
"docker/entrypoint.sh",32,"[ ! -L /var/www/html/InvoiceShelf/storage ] && \"
"docker/entrypoint.sh",33,"	cp -r /var/www/html/InvoiceShelf/storage/* /data && \"
"docker/entrypoint.sh",34,"	rm -r /var/www/html/InvoiceShelf/storage && \"
"docker/entrypoint.sh",35,"	ln -s /data /var/www/html/InvoiceShelf/storage"
"docker/entrypoint.sh",38,"[ ! -L /var/www/html/InvoiceShelf/public/storage ] && \"
"docker/entrypoint.sh",39,"	ln -s /data/app/public /var/www/html/InvoiceShelf/public/storage"
"docker/entrypoint.sh",41,"cd /var/www/html/InvoiceShelf"
"docker/entrypoint.sh",47,"    DB_DATABASE='/var/www/html/InvoiceShelf/database/database.sqlite'"
"docker/entrypoint.sh",65,"	sed 's|^#DB_DATABASE=$|DB_DATABASE='$DB_DATABASE'|' /var/www/html/InvoiceShelf/.env.example > /conf/.env"
"docker/entrypoint.sh",66,"[ ! -L /var/www/html/InvoiceShelf/.env ] && \"
"docker/entrypoint.sh",67,"	ln -s /conf/.env /var/www/html/InvoiceShelf/.env"
"docker/entrypoint.sh",109,"	find /var/www/html/InvoiceShelf/bootstrap -type d \( ! -perm -ug+w -o ! -perm -ugo+rX -o ! -perm -g+s \) -exec chmod -R ug+w\,ugo+rX\,g+s \{\} \;"
"cypress/README.md",1,"# Cypress End-to-End Testing for InvoiceShelf Macedonia"
"cypress/support/commands.js",11,"// Custom commands for InvoiceShelf application"
"cypress/e2e/auth_admin.cy.js",63,"      // Check for InvoiceShelf branding"
"cypress/e2e/auth_admin.cy.js",64,"      cy.contains('InvoiceShelf').should('be.visible')"
"cypress/e2e/migration_wizard.cy.js",200,"    it('should auto-map Onivo fields to InvoiceShelf fields'\, () => {"
"app/Space/Updater.php",112,"        if (! File::copyDirectory($temp_extract_dir.'/InvoiceShelf'\, base_path())) {"
"app/Space/helpers.php",52,"    $defaultPageTitle = 'InvoiceShelf - Self Hosted Invoicing Platform';"
"app/Console/Commands/UpdateCommand.php",29,"    protected $description = 'Automatically update your InvoiceShelf Core App';"
".pre-commit-config.yaml",1,"# Pre-commit hooks for InvoiceShelf security and code quality"
"tests/Unit/MkUblMapperTest.php",19," * Verifies that the mapper can generate valid UBL XML from InvoiceShelf invoices"
"tests/visual/mobile-pwa.spec.js",71,"      expect(manifestData.name).toContain('InvoiceShelf');"
"tests/_output/CYPRESS_TEST_REPORT.md",28,"- **Application:** InvoiceShelf:nightly (facturino_app)"
"tests/_output/CYPRESS_TEST_REPORT.md",35,"- **Branding:** InvoiceShelf (consistent across all pages)"
"tests/_output/CYPRESS_TEST_REPORT.md",45,"   - InvoiceShelf branding displayed correctly"
"tests/_output/CYPRESS_TEST_REPORT.md",51,"   - All languages display InvoiceShelf branding consistently"
"tests/_output/CYPRESS_TEST_REPORT.md",59,"   - InvoiceShelf branding maintained across all pages"
"tests/_output/CYPRESS_TEST_REPORT.md",81,"- **\""InvoiceShelf\""** appears consistently across all tested languages"
"tests/_output/CYPRESS_TEST_REPORT.md",160,"3. **Branding Consistency:** Ensure \""InvoiceShelf\"" branding is maintained in final builds"
"tests/_output/CYPRESS_TEST_REPORT.md",180,"- InvoiceShelf branding consistency confirmed"
"tests/fixtures/create_sample_pdf.php",65,"(Generated for InvoiceShelf INV-01 development.) Tj"
".claude/CLAUDE.md",5,"Build a Macedonian-localised fork of InvoiceShelf with bank-feed\,"
".claude/CLAUDE.md",109,"* Follow InvoiceShelf's existing patterns"
".claude/CLAUDE.md",112,"* Use existing UI components from InvoiceShelf"
"docs/Brand-Guidelines.md",13,"- **Previous**: InvoiceShelf (legacy\, being phased out)"
"DOCKER_SMOKE_TEST_AUDIT.md",33,"- **Application Bootstrap**: InvoiceShelf JavaScript framework loading correctly"
