2025-11-10T14:19:26.000000000Z [inf]  Starting Container
2025-11-10T14:20:32.317041864Z [inf]  Starting application services...
2025-11-10T14:20:32.317048040Z [err]  /usr/lib/python3.12/site-packages/supervisor/options.py:13: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
2025-11-10T14:20:32.317054495Z [err]    import pkg_resources
2025-11-10T14:20:32.317062399Z [inf]  2025-11-10 14:20:32,018 INFO Set uid to user 0 succeeded
2025-11-10T14:20:32.317070416Z [inf]  2025-11-10 14:20:32,021 INFO supervisord started with pid 1
2025-11-10T14:20:33.270784686Z [inf]  2025-11-10 14:20:33,024 INFO spawned: 'nginx' with pid 73
2025-11-10T14:20:33.270790077Z [inf]  2025-11-10 14:20:33,027 INFO spawned: 'php-fpm' with pid 74
2025-11-10T14:20:33.270793900Z [inf]  2025-11-10 14:20:33,029 INFO spawned: 'queue-worker_00' with pid 75
2025-11-10T14:20:33.270797910Z [inf]  2025-11-10 14:20:33,030 INFO spawned: 'queue-worker_01' with pid 76
2025-11-10T14:20:33.270802323Z [inf]  2025-11-10 14:20:33,033 INFO spawned: 'scheduler' with pid 77
2025-11-10T14:20:33.270806172Z [err]  [10-Nov-2025 14:20:33] NOTICE: fpm is running, pid 74
2025-11-10T14:20:33.270809940Z [err]  [10-Nov-2025 14:20:33] NOTICE: ready to handle connections
2025-11-10T14:20:33.270813630Z [inf]  2025-11-10 14:20:33,148 INFO reaped unknown pid 79 (exit status 1)
2025-11-10T14:20:33.270817674Z [inf]  2025-11-10 14:20:33,156 WARN exited: queue-worker_00 (exit status 1; not expected)
2025-11-10T14:20:33.270822224Z [inf]  2025-11-10 14:20:33,156 WARN exited: queue-worker_01 (exit status 1; not expected)
2025-11-10T14:20:34.384123214Z [inf]  2025-11-10 14:20:34,157 INFO success: nginx entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
2025-11-10T14:20:34.384127595Z [inf]  2025-11-10 14:20:34,157 INFO success: php-fpm entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
2025-11-10T14:20:34.384131853Z [inf]  2025-11-10 14:20:34,161 INFO spawned: 'queue-worker_00' with pid 134
2025-11-10T14:20:34.384136438Z [inf]  2025-11-10 14:20:34,164 INFO spawned: 'queue-worker_01' with pid 135
2025-11-10T14:20:34.384141104Z [inf]  2025-11-10 14:20:34,164 INFO success: scheduler entered RUNNING state, process has stayed up for > than 1 seconds (startsecs)
2025-11-10T14:20:34.384145537Z [inf]  2025-11-10 14:20:34,265 WARN exited: queue-worker_00 (exit status 1; not expected)
2025-11-10T14:20:34.384149639Z [inf]  2025-11-10 14:20:34,291 WARN exited: queue-worker_01 (exit status 1; not expected)
2025-11-10T14:20:36.299617636Z [inf]  2025-11-10 14:20:36,295 INFO spawned: 'queue-worker_00' with pid 136
2025-11-10T14:20:36.299623435Z [inf]  2025-11-10 14:20:36,297 INFO spawned: 'queue-worker_01' with pid 137
2025-11-10T14:20:36.399415648Z [inf]  2025-11-10 14:20:36,394 WARN exited: queue-worker_01 (exit status 1; not expected)
2025-11-10T14:20:36.399421118Z [inf]  2025-11-10 14:20:36,396 WARN exited: queue-worker_00 (exit status 1; not expected)
2025-11-10T14:20:39.717246740Z [inf]  2025-11-10 14:20:39,400 INFO spawned: 'queue-worker_00' with pid 138
2025-11-10T14:20:39.717252449Z [inf]  2025-11-10 14:20:39,402 INFO spawned: 'queue-worker_01' with pid 139
2025-11-10T14:20:39.729957864Z [inf]  2025-11-10 14:20:39,497 WARN exited: queue-worker_00 (exit status 1; not expected)
2025-11-10T14:20:39.730123475Z [inf]  2025-11-10 14:20:39,502 INFO gave up: queue-worker_00 entered FATAL state, too many start retries too quickly
2025-11-10T14:20:39.730129099Z [inf]  2025-11-10 14:20:39,502 WARN exited: queue-worker_01 (exit status 1; not expected)
2025-11-10T14:20:40.507959158Z [inf]  2025-11-10 14:20:40,503 INFO gave up: queue-worker_01 entered FATAL state, too many start retries too quickly
2025-11-10T14:21:40.539980304Z [inf]  2025-11-10 14:21:34,137 INFO reaped unknown pid 141 (exit status 1)
2025-11-10T14:22:40.018918200Z [inf]  2025-11-10 14:22:34,146 INFO reaped unknown pid 144 (exit status 1)
2025-11-10T14:23:40.589738635Z [inf]  2025-11-10 14:23:34,153 INFO reaped unknown pid 147 (exit status 1)
